Time,Event
00:44.637,"General Vezax Mark of the Faceless Padparadcha 2211 (A: 2639) (U: 5000, M: 150, 3.00%)"
00:45.912,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
00:45.912,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
00:45.912,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:45.912,"General Vezax Mark of the Faceless  Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
00:50.940,General Vezax's Mark of the Faceless  fades from Shambby
01:08.413,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
01:10.838,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
01:10.838,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
01:10.838,"General Vezax Mark of the Faceless Pestie (A: 4850) (U: 5000, M: 150, 3.00%)"
01:10.838,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
01:10.838,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
01:10.838,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
01:12.075,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
01:12.075,"General Vezax Mark of the Faceless Bezarag (A: 4607) (U: 5000, M: 393, 7.86%)"
01:12.075,"General Vezax Mark of the Faceless Onkos 2263 (A: 2587) (U: 5000, M: 150, 3.00%)"
01:12.075,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
01:12.075,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
01:12.075,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
01:13.435,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
01:18.421,General Vezax's Mark of the Faceless  fades from Wunderlol
01:29.499,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
01:31.959,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
01:31.959,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:31.959,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:31.959,"General Vezax Mark of the Faceless Padparadcha (A: 4850) (U: 5000, M: 150, 3.00%)"
01:33.011,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:33.011,"General Vezax Mark of the Faceless Ratherbebelf 2142 (A: 2708) (U: 5000, M: 150, 3.00%)"
01:33.011,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:33.011,"General Vezax Mark of the Faceless Padparadcha 2142 (A: 2708) (U: 5000, M: 150, 3.00%)"
01:34.722,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:39.487,General Vezax's Mark of the Faceless  fades from Apraxial
01:50.592,Shambby is afflicted by  Mark of the Faceless  from General Vezax
01:53.336,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:53.336,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:53.336,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:53.336,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:54.599,"General Vezax Mark of the Faceless Padparadcha (A: 4850) (U: 5000, M: 150, 3.00%)"
01:54.599,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
01:54.599,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:54.599,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
02:00.608,General Vezax's Mark of the Faceless  fades from Shambby
02:14.848,Pestie is afflicted by  Mark of the Faceless  from General Vezax
02:17.727,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
02:17.727,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
02:17.727,"General Vezax Mark of the Faceless Boscaiolo (A: 4850) (U: 5000, M: 150, 3.00%)"
02:17.727,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
02:17.727,"General Vezax Mark of the Faceless Bezarag (A: 4608) (U: 5000, M: 392, 7.84%)"
02:17.727,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
02:18.842,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
02:18.842,"General Vezax Mark of the Faceless Onkos 2313 (A: 2537) (U: 5000, M: 150, 3.00%)"
02:18.842,"General Vezax Mark of the Faceless Bezarag 1723 (A: 2885) (U: 5000, M: 392, 7.84%)"
02:18.842,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
02:18.842,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
02:18.842,"General Vezax Mark of the Faceless Boscaiolo 2253 (A: 2597) (U: 5000, M: 150, 3.00%)"
02:24.854,General Vezax's Mark of the Faceless  fades from Pestie
02:35.882,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
02:38.460,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
02:38.460,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
02:38.460,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
02:40.199,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
02:45.874,General Vezax's Mark of the Faceless  fades from Apraxial
02:46.377,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
02:47.366,"General Vezax Mark of the Faceless  Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
02:48.364,"General Vezax Mark of the Faceless  Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
02:56.988,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
02:59.927,"General Vezax Mark of the Faceless Padparadcha (A: 4850) (U: 5000, M: 150, 3.00%)"
02:59.927,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
03:01.178,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
03:02.469,"General Vezax Mark of the Faceless Shindolshot (A: 4656) (U: 5000, M: 344, 6.88%)"
03:07.017,General Vezax's Mark of the Faceless  fades from Wunderlol
03:17.969,Shambby is afflicted by  Mark of the Faceless  from General Vezax
03:20.647,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
03:20.647,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
03:20.647,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
03:20.647,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
03:21.911,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
03:21.911,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
03:21.911,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
03:27.963,General Vezax's Mark of the Faceless  fades from Shambby
03:38.977,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
03:41.656,"General Vezax Mark of the Faceless  Shambby 4850 (U: 5000, M: 150, 3.00%)"
03:41.656,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
03:41.656,"General Vezax Mark of the Faceless Padparadcha (A: 4850) (U: 5000, M: 150, 3.00%)"
03:41.656,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
03:43.188,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
03:44.431,"General Vezax Mark of the Faceless Shambby 2106 (A: 2744) (U: 5000, M: 150, 3.00%)"
03:48.463,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
03:48.987,General Vezax's Mark of the Faceless  fades from Apraxial
03:49.473,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
03:50.492,"General Vezax Mark of the Faceless Ratherbebelf 1118 (A: 2599) (O: 1133) (U: 5000, M: 150, 3.00%)"
04:00.021,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
04:02.762,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:02.762,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
04:02.762,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
04:03.900,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:10.034,General Vezax's Mark of the Faceless  fades from Magìcpìpe
04:21.175,Shambby is afflicted by  Mark of the Faceless  from General Vezax
04:24.100,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:24.100,"General Vezax Mark of the Faceless Ratherbebelf 778 (A: 4072) (U: 5000, M: 150, 3.00%)"
04:24.100,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
04:25.379,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
04:25.379,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:31.175,General Vezax's Mark of the Faceless  fades from Shambby
04:42.263,Shindolshot is afflicted by  Mark of the Faceless  from General Vezax
04:45.074,"General Vezax Mark of the Faceless Onkos 2220 (A: 2630) (U: 5000, M: 150, 3.00%)"
04:45.074,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
04:45.074,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
04:45.074,"General Vezax Mark of the Faceless  Boscaiolo 4332 (A: 33) (U: 5000, M: 635, 12.70%)"
04:52.265,General Vezax's Mark of the Faceless  fades from Shindolshot
05:06.472,Onkos is afflicted by  Mark of the Faceless  from General Vezax
05:09.238,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
05:09.238,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
05:09.238,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
05:09.238,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
05:09.238,"General Vezax Mark of the Faceless  Boscaiolo 4365 (U: 5000, M: 635, 12.70%)"
05:10.468,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
05:10.468,"General Vezax Mark of the Faceless  Boscaiolo 4365 (U: 5000, M: 635, 12.70%)"
05:10.468,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
05:10.468,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
05:11.735,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
05:16.454,General Vezax's Mark of the Faceless  fades from Onkos
05:30.678,Bezarag is afflicted by  Mark of the Faceless  from General Vezax
05:33.807,"General Vezax Mark of the Faceless Boscaiolo 4365 (U: 5000, M: 635, 12.70%)"
05:33.807,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
05:33.807,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
05:33.807,"General Vezax Mark of the Faceless Shindolshot 4191 (U: 5000, M: 809, 16.18%)"
05:35.003,"General Vezax Mark of the Faceless Shindolshot 4191 (U: 5000, M: 809, 16.18%)"
05:40.729,General Vezax's Mark of the Faceless  fades from Bezarag
05:42.158,"General Vezax Mark of the Faceless  Shindolshot 4190 (U: 5000, M: 810, 16.20%)"
05:42.158,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
05:51.833,Shambby is afflicted by  Mark of the Faceless  from General Vezax
05:54.883,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
05:54.883,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
06:01.842,General Vezax's Mark of the Faceless  fades from Shambby
06:12.880,Shindolshot is afflicted by  Mark of the Faceless  from General Vezax
06:15.710,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
06:15.710,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
06:15.710,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
06:15.710,"General Vezax Mark of the Faceless  Onkos 4850 (U: 5000, M: 150, 3.00%)"
06:15.710,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
06:16.815,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
06:16.815,"General Vezax Mark of the Faceless  Onkos 4850 (U: 5000, M: 150, 3.00%)"
06:16.815,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
06:16.816,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
06:16.816,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
06:18.057,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
06:22.873,General Vezax's Mark of the Faceless  fades from Shindolshot
06:34.102,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
06:37.347,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
06:37.347,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
06:37.347,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
06:38.490,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
06:44.110,General Vezax's Mark of the Faceless  fades from Wunderlol
06:56.717,Pestie is afflicted by  Mark of the Faceless  from General Vezax
06:59.894,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
06:59.909,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
07:00.669,General Vezax's Mark of the Faceless  fades from  Pestie
07:17.682,Pestie is afflicted by  Mark of the Faceless  from General Vezax
07:20.544,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
07:20.544,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
07:20.544,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
07:27.682,General Vezax's Mark of the Faceless  fades from Pestie
07:38.433,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
07:40.660,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
07:40.660,"General Vezax Mark of the Faceless  Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
07:41.793,"General Vezax Mark of the Faceless Onkos 3833 (O: 1017) (U: 5000, M: 150, 3.00%)"
07:48.449,General Vezax's Mark of the Faceless  fades from Magìcpìpe
07:59.567,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
08:02.433,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
08:02.433,"General Vezax Mark of the Faceless Primalheals 4850 (U: 5000, M: 150, 3.00%)"
08:04.039,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
08:09.605,General Vezax's Mark of the Faceless  fades from Magìcpìpe
08:20.453,Jajjs is afflicted by  Mark of the Faceless  from General Vezax
08:22.175,General Vezax Mark of the Faceless Wolfester 5093 (U: 5000)
08:22.175,"General Vezax Mark of the Faceless Scribless 4850 (U: 5000, M: 150, 3.00%)"
08:22.175,"General Vezax Mark of the Faceless Mirajz 4850 (U: 5000, M: 150, 3.00%)"
08:22.175,General Vezax Mark of the Faceless Holywhisper 5000 (U: 5000)
08:22.175,"General Vezax Mark of the Faceless Ivý 4850 (U: 5000, M: 150, 3.00%)"
08:22.625,General Vezax's Mark of the Faceless  fades from Jajjs
08:22.967,"General Vezax Mark of the Faceless Mirajz 4850 (U: 5000, M: 150, 3.00%)"
08:22.967,General Vezax Mark of the Faceless Wolfester 5092 (U: 5000)
08:22.967,General Vezax Mark of the Faceless Holywhisper 5000 (U: 5000)
08:22.967,"General Vezax Mark of the Faceless Ivý 4850 (U: 5000, M: 150, 3.00%)"
08:22.967,"General Vezax Mark of the Faceless Scribless 4850 (U: 5000, M: 150, 3.00%)"
08:41.984,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
08:51.989,General Vezax's Mark of the Faceless  fades from Magìcpìpe
09:02.891,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
09:12.899,General Vezax's Mark of the Faceless  fades from Wunderlol
00:18.571,Shindolshot is afflicted by  Mark of the Faceless  from General Vezax
00:21.349,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
00:21.349,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
00:21.349,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:21.349,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
00:21.349,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
00:21.349,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
00:21.349,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:21.349,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
00:22.636,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:22.637,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
00:28.555,General Vezax's Mark of the Faceless  fades from Shindolshot
00:39.619,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
00:42.759,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
00:42.759,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:42.759,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
00:42.759,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
00:42.759,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:42.759,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
00:43.934,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
00:49.612,General Vezax's Mark of the Faceless  fades from Magìcpìpe
01:02.071,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
01:04.302,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:04.302,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:04.302,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:04.302,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:04.302,"General Vezax Mark of the Faceless Seeled 4559 (U: 5000, M: 441, 8.82%)"
01:05.325,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:05.325,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:05.325,"General Vezax Mark of the Faceless Sarìah 4850 (U: 5000, M: 150, 3.00%)"
01:05.325,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:05.325,"General Vezax Mark of the Faceless Seeled 4559 (U: 5000, M: 441, 8.82%)"
01:06.318,"General Vezax Mark of the Faceless Seeled 3447 (O: 1112) (U: 5000, M: 441, 8.82%)"
01:06.318,"General Vezax Mark of the Faceless Sarìah 4850 (U: 5000, M: 150, 3.00%)"
01:06.318,"General Vezax Mark of the Faceless  Kinka 4422 (U: 5000, M: 578, 11.56%)"
01:06.318,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:06.318,General Vezax Mark of the Faceless Wolfester 5092 (U: 5000)
01:06.318,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:06.318,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:07.308,"General Vezax Mark of the Faceless  Kinka 4422 (U: 5000, M: 578, 11.56%)"
01:07.308,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:07.308,"General Vezax Mark of the Faceless Sarìah 2179 (O: 2671) (U: 5000, M: 150, 3.00%)"
01:07.308,General Vezax Mark of the Faceless Wolfester 5092 (U: 5000)
01:07.308,"General Vezax Mark of the Faceless Dellbelphine 221 (O: 4629) (U: 5000, M: 150, 3.00%)"
01:08.301,"General Vezax Mark of the Faceless  Kinka (A: 4422) (U: 5000, M: 578, 11.56%)"
01:08.319,General Vezax Mark of the Faceless Wolfester 4440 (O: 653) (U: 5000)
01:08.319,"General Vezax Mark of the Faceless Holywhisper 4850 (U: 5000, M: 150, 3.00%)"
01:08.319,"General Vezax Mark of the Faceless Jajjs 4850 (U: 5000, M: 150, 3.00%)"
01:09.289,"General Vezax Mark of the Faceless Holywhisper 4850 (U: 5000, M: 150, 3.00%)"
01:09.289,"General Vezax Mark of the Faceless Jajjs 4850 (U: 5000, M: 150, 3.00%)"
01:09.289,"General Vezax Mark of the Faceless  Kinka 1755 (A: 2667) (U: 5000, M: 578, 11.56%)"
01:10.297,"General Vezax Mark of the Faceless Nurfndecay 4850 (U: 5000, M: 150, 3.00%)"
01:10.297,"General Vezax Mark of the Faceless  Kinka 4185 (A: 237) (U: 5000, M: 578, 11.56%)"
01:10.297,"General Vezax Mark of the Faceless Jajjs 237 (O: 4613) (U: 5000, M: 150, 3.00%)"
01:11.299,"General Vezax Mark of the Faceless Primalheals 4850 (U: 5000, M: 150, 3.00%)"
01:11.299,"General Vezax Mark of the Faceless Nurfndecay 4850 (U: 5000, M: 150, 3.00%)"
01:12.059,General Vezax's Mark of the Faceless  fades from Apraxial
01:12.299,"General Vezax Mark of the Faceless Nurfndecay 4014 (O: 836) (U: 5000, M: 150, 3.00%)"
01:12.299,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
01:12.299,"General Vezax Mark of the Faceless Primalheals 4850 (U: 5000, M: 150, 3.00%)"
01:13.308,"General Vezax Mark of the Faceless Primalheals 2070 (O: 2780) (U: 5000, M: 150, 3.00%)"
01:13.308,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
