Time,Event
00:19.193,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
00:19.207,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
00:20.167,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
00:20.167,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
00:20.167,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
00:20.167,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
00:20.167,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:26.636,General Vezax's Mark of the Faceless  fades from Apraxial
00:37.872,Boscaiolo is afflicted by  Mark of the Faceless  from General Vezax
00:40.952,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
00:40.952,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
00:40.952,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:40.952,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
00:40.952,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
00:40.952,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:47.881,General Vezax's Mark of the Faceless  fades from Boscaiolo
00:48.427,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
00:49.175,"General Vezax Mark of the Faceless Onkos 2236 (A: 2614) (U: 5000, M: 150, 3.00%)"
00:49.175,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
00:49.175,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
00:49.175,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:49.175,"General Vezax Mark of the Faceless  Bezarag 4607 (U: 5000, M: 393, 7.86%)"
00:49.946,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
00:49.946,"General Vezax Mark of the Faceless  Bezarag 4608 (U: 5000, M: 392, 7.84%)"
00:49.946,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:49.946,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:49.951,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
00:49.951,"General Vezax Mark of the Faceless Pestie (A: 4850) (U: 5000, M: 150, 3.00%)"
00:58.765,Bezarag is afflicted by  Mark of the Faceless  from General Vezax
01:02.198,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
01:03.360,"General Vezax Mark of the Faceless Onkos 2085 (A: 2765) (U: 5000, M: 150, 3.00%)"
01:08.786,General Vezax's Mark of the Faceless  fades from Bezarag
01:19.854,Padparadcha is afflicted by  Mark of the Faceless  from General Vezax
01:22.906,"General Vezax Mark of the Faceless Droob (A: 4850) (U: 5000, M: 150, 3.00%)"
01:22.906,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
01:22.906,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
01:22.906,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
01:22.906,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
01:23.935,"General Vezax Mark of the Faceless  Dellbelphine 2177 (A: 2673) (U: 5000, M: 150, 3.00%)"
01:23.935,"General Vezax Mark of the Faceless Ratherbebelf 2177 (A: 2673) (U: 5000, M: 150, 3.00%)"
01:23.935,"General Vezax Mark of the Faceless Shambby 2177 (A: 2673) (U: 5000, M: 150, 3.00%)"
01:29.860,General Vezax's Mark of the Faceless  fades from Padparadcha
01:42.584,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
01:45.527,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:45.527,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:45.527,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:45.527,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
01:46.569,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:52.606,General Vezax's Mark of the Faceless  fades from Apraxial
02:05.119,Shindolshot is afflicted by  Mark of the Faceless  from General Vezax
02:07.809,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
02:07.809,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
02:07.809,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
02:15.124,General Vezax's Mark of the Faceless  fades from Shindolshot
02:27.737,Padparadcha is afflicted by  Mark of the Faceless  from General Vezax
02:30.419,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
02:30.419,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
02:30.419,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
02:30.419,"General Vezax Mark of the Faceless Droob (A: 4850) (U: 5000, M: 150, 3.00%)"
02:30.419,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
02:37.747,General Vezax's Mark of the Faceless  fades from Padparadcha
02:51.996,Shambby is afflicted by  Mark of the Faceless  from General Vezax
02:54.707,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
02:54.707,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
02:54.707,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
02:54.707,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
02:54.707,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
02:55.760,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
02:55.760,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
02:55.760,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
02:55.760,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
02:57.003,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
02:57.003,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
03:02.001,General Vezax's Mark of the Faceless  fades from Shambby
03:02.960,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
03:02.960,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
03:02.960,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
03:03.932,"General Vezax Mark of the Faceless  Dellbelphine 2811 (A: 2039) (U: 5000, M: 150, 3.00%)"
03:03.948,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
03:16.263,Ratherbebelf is afflicted by  Mark of the Faceless  from General Vezax
03:19.090,"General Vezax Mark of the Faceless Padparadcha (A: 4850) (U: 5000, M: 150, 3.00%)"
03:19.090,"General Vezax Mark of the Faceless Droob (A: 4850) (U: 5000, M: 150, 3.00%)"
03:19.090,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
03:19.090,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
